Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,504
design__inferred_latch__count,0
design__instance__count,104245
design__instance__area,4.07446E+6
design__instance_unmapped__count,0
synthesis__check_error__count,187
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,805
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004480252508074045
power__switching__total,0.0024160239845514297
power__leakage__total,1.4246099055981176E-7
power__total,0.006896418984979391
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.26973424257641
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3624926850178396
timing__hold__ws__corner:nom_tt_025C_1v80,0.11573275998454126
timing__setup__ws__corner:nom_tt_025C_1v80,10.959535811299384
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.339218
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.556884
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,44
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,805
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.41399262967322
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.43326229941183714
timing__hold__ws__corner:nom_ss_100C_1v60,0.5182974196528799
timing__setup__ws__corner:nom_ss_100C_1v60,4.911372780816767
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.909802
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.911373
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,805
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.2103675071462283
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3339990323295844
timing__hold__ws__corner:nom_ff_n40C_1v95,0.029035441539595162
timing__setup__ws__corner:nom_ff_n40C_1v95,11.03298283961529
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.126728
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,53
design__max_fanout_violation__count,805
design__max_cap_violation__count,3
clock__skew__worst_hold,-2.2059874551456007
clock__skew__worst_setup,0.32527401137689976
timing__hold__ws,0.007321699009869772
timing__setup__ws,4.389594589838639
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.122161
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.389595
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,645
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,104244
design__instance__area__stdcell,235089
design__instance__count__macros,1
design__instance__area__macros,3.83937E+6
design__instance__utilization,0.400478
design__instance__utilization__stdcell,0.0371119
design__instance__count__class:macro,1
design__instance__count__class:buffer,3
design__instance__count__class:inverter,1313
design__instance__count__class:sequential_cell,1595
design__instance__count__class:multi_input_combinational_cell,4151
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,596129
design__instance__count__class:tap_cell,85529
design__power_grid_violation__count__net:vssa2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vssa1,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vssd2,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,565180
design__violations,0
design__instance__count__class:timing_repair_buffer,2043
design__instance__count__class:clock_buffer,242
design__instance__count__class:clock_inverter,97
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1127
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
design__instance__count__class:antenna_cell,9271
antenna_diodes_count,35
route__net,9724
route__net__special,8
route__drc_errors__iter:1,5109
route__wirelength__iter:1,678443
route__drc_errors__iter:2,1965
route__wirelength__iter:2,675630
route__drc_errors__iter:3,1759
route__wirelength__iter:3,674798
route__drc_errors__iter:4,154
route__wirelength__iter:4,674616
route__drc_errors__iter:5,38
route__wirelength__iter:5,674615
route__drc_errors__iter:6,32
route__wirelength__iter:6,674618
route__drc_errors__iter:7,32
route__wirelength__iter:7,674626
route__drc_errors__iter:8,32
route__wirelength__iter:8,674626
route__drc_errors__iter:9,32
route__wirelength__iter:9,674640
route__drc_errors__iter:10,22
route__wirelength__iter:10,674641
route__drc_errors__iter:11,22
route__wirelength__iter:11,674641
route__drc_errors__iter:12,22
route__wirelength__iter:12,674641
route__drc_errors__iter:13,22
route__wirelength__iter:13,674641
route__drc_errors__iter:14,22
route__wirelength__iter:14,674654
route__drc_errors__iter:15,22
route__wirelength__iter:15,674658
route__drc_errors__iter:16,22
route__wirelength__iter:16,674658
route__drc_errors__iter:17,22
route__wirelength__iter:17,674658
route__drc_errors__iter:18,31
route__wirelength__iter:18,674616
route__drc_errors__iter:19,29
route__wirelength__iter:19,674605
route__drc_errors__iter:20,28
route__wirelength__iter:20,674605
route__drc_errors__iter:21,23
route__wirelength__iter:21,674611
route__drc_errors__iter:22,23
route__wirelength__iter:22,674611
